ETHBTC
LTCBTC
BNBBTC
NEOBTC
QTUMETH
EOSETH
SNTETH
BNTETH
GASBTC
BNBETH
BTCUSDT
ETHUSDT
WTCBTC
LRCBTC
LRCETH
QTUMBTC
ZRXBTC
KNCBTC
FUNETH
NEOETH
IOTABTC
IOTAETH
LINKBTC
LINKETH
XVGETH
MTLBTC
EOSBTC
SNTBTC
ETCETH
ETCBTC
ZECBTC
ZECETH
BNTBTC
ASTBTC
DASHBTC
DASHETH
OAXBTC
REQBTC
VIBBTC
TRXBTC
TRXETH
POWRBTC
POWRETH
XRPBTC
XRPETH
ENJBTC
ENJETH
STORJBTC
BNBUSDT
KMDBTC
NULSBTC
XMRBTC
XMRETH
AMBBTC
BATBTC
NEOUSDT
LSKBTC
LSKETH
MANABTC
MANAETH
ADXBTC
ADXETH
ADABTC
ADAETH
XLMBTC
XLMETH
XLMBNB
LTCETH
LTCUSDT
LTCBNB
WAVESBTC
WAVESETH
ICXBTC
ELFBTC
ELFETH
NEBLBNB
BRDBTC
RLCBTC
RLCETH
PIVXBTC
IOSTBTC
IOSTETH
STEEMBTC
STEEMETH
BLZBTC
ZILBTC
ZILETH
ZILBNB
ONTBTC
QTUMUSDT
WANBTC
WANETH
SYSBTC
GRSETH
ADAUSDT
ADABNB
LOOMBTC
LOOMBNB
XRPUSDT
BCNBTC
BCNETH
BTCTUSD
ETHTUSD
ZENBTC
ZENETH
EOSUSDT
THETABTC
THETAETH
XRPBNB
TUSDUSDT
IOTAUSDT
XLMUSDT
IOTXBTC
IOTXETH
QKCBTC
QKCETH
DATABTC
ONTUSDT
TRXBNB
TRXUSDT
ETCUSDT
ETCBNB
ICXUSDT
SCETH
KEYBTC
DENTETH
ARDRBTC
ARDRBNB
NULSUSDT
HOTETH
VETBTC
VETETH
VETUSDT
VETBNB
DOCKBTC
RVNBTC
DCRBTC
BNBPAX
RENBTC
BNBTUSD
XRPTUSD
BNBUSDC
BTCUSDC
ETHUSDC
XRPUSDC
EOSUSDC
XLMUSDC
USDCUSDT
ADATUSD
NEOTUSD
TRXXRP
XZCXRP
PAXTUSD
USDCTUSD
USDCPAX
LINKUSDT
LINKTUSD
LINKPAX
LINKUSDC
WAVESUSDT
WAVESTUSD
WAVESPAX
WAVESUSDC
BCHABCTUSD
BCHABCPAX
BCHABCUSDC
BCHSVTUSD
BCHSVPAX
BCHSVUSDC
LTCTUSD
LTCPAX
LTCUSDC
TRXPAX
TRXUSDC
BTTBTC
BTTBNB
BTTUSDT
BNBUSDS
BTCUSDS
USDSUSDT
USDSPAX
USDSTUSD
USDSUSDC
BTTPAX
BTTTUSD
BTTUSDC
ONGBNB
ONGBTC
ONGUSDT
HOTBNB
HOTUSDT
ZILUSDT
ZRXBNB
ZRXUSDT
FETBNB
FETBTC
FETUSDT
BATUSDT
XMRBNB
XMRUSDT
ZECBNB
ZECUSDT
IOSTUSDT
CELRBTC
CELRUSDT
DASHUSDT
OMGUSDT
THETAUSDT
ENJUSDT
MATICBNB
MATICBTC
MATICUSDT
ATOMBNB
ATOMBTC
ATOMUSDT
PHBBTC
TFUELBTC
TFUELUSDT
ONEBNB
ONEBTC
ONEUSDT
FTMBNB
FTMBTC
FTMUSDT
ALGOBNB
ALGOBTC
ALGOUSDT
DOGEBTC
DOGEUSDT
DUSKBTC
DUSKUSDT
ANKRBTC
ANKRUSDT
WINBNB
WINUSDT
COSBNB
COSBTC
COSUSDT
COCOSBNB
COCOSBTC
COCOSUSDT
MTLUSDT
TOMOBNB
TOMOBTC
TOMOUSDT
TOMOUSDC
PERLBNB
PERLBTC
PERLUSDC
PERLUSDT
DENTUSDT
MFTUSDT
KEYUSDT
DOCKUSDT
WANUSDT
FUNUSDT
CVCUSDT
WINTRX
CHZBNB
CHZBTC
CHZUSDT
BANDBTC
BANDUSDT
BNBBUSD
BTCBUSD
BUSDUSDT
XTZBTC
XTZUSDT
RENUSDT
RVNUSDT
HBARBNB
HBARBTC
HBARUSDT
NKNBTC
NKNUSDT
XRPBUSD
ETHBUSD
LTCBUSD
LINKBUSD
ETCBUSD
STXBNB
STXBTC
STXUSDT
KAVABNB
KAVABTC
KAVAUSDT
BTCNGN
ARPABNB
ARPABTC
ARPAUSDT
TRXBUSD
IOTXUSDT
RLCUSDT
XLMBUSD
ADABUSD
CTXCBTC
CTXCUSDT
BCHBNB
BCHBTC
BCHUSDT
BCHTUSD
BCHBUSD
